id,name,lat,lon
358949849,Saint Therese Catholic Church,39.7361111,-104.8597222
358949851,Southeast Church of Christ,39.6681423,-104.8188084
358949854,Trinity Baptist Church,39.6393394,-104.8073922
358949856,Bethany Evangelical Free Church,39.6031877,-104.9875831
358949858,Church of Christ,39.5988889,-104.9427778
358949861,Denver Colorado Temple,39.5686528,-104.9657537
358949863,Congregation Beth Shalom,39.6058333,-104.9802778
358949866,Denver Sam Sung Presbyterian Church,39.5899203,-104.9866631
358949868,Faith Community Fellowship Church,39.5944444,-104.9411111
358949870,Family Worship Center,39.6025987,-104.9796089
358949873,Grace Point Community Church,39.6091667,-104.9869444
358949875,Skyview Presbyterian Church,39.5947222,-104.9852778
358949880,Highline Community Church Center,39.601956,-104.9609223
358949882,Lutheran Church of the Holy Spirit,39.6019444,-104.9583333
358949885,Our Father Lutheran Church,39.6019444,-104.9236111
358949887,Saint Timothy's Episcopal Church,39.5812224,-104.9716197
358949890,South Holly Baptist Church,39.5882493,-104.9244414
358949892,Mosaic Church,39.6419692,-104.9867835
358949895,Bethany Baptist Church,39.6401928,-104.988577
358949897,Calvary Baptist Church,39.6281035,-104.9895171
358949900,Cherry Hills Full Gospel Center,39.6282873,-104.9779298
358949902,Church of Christ,39.6315056,-104.9828583
358949904,The Church of Jesus Christ of Latter-day Saints,39.6336629,-104.9765806
358949940,Cornerstore Free Methodist Church,39.638229,-104.9862218
358949942,Englewood Bible Church,39.6592082,-104.983731
358949945,First Presbyterian Church of Englewood,39.6528081,-104.9825418
358949952,Good Shepherd Episcopal Church,39.5811111,-104.89
358949954,Grace Evangelical Lutheran Church,39.6304817,-104.9780237
358949959,Korean Emmanuel United Methodist Church,39.6610009,-104.9600717
358949961,Mayflower Congregational Church,39.6622222,-104.9894444
358949964,Saint George's Episcopal Church,39.6498609,-104.9777746
358949966,Saint Louis Catholic Church,39.6566315,-104.9849063
358949968,Saint Mark Coptic Orthodox Church,39.6300248,-104.9812172
358949970,Saint Thomas More Catholic Parish,39.5706604,-104.9060934
358949973,Seventh Day Adventist Reformed Church,39.6369412,-104.9868993
358949975,Ahavas Yisroel Aish Hatorah,39.6235695,-104.8774947
358949978,Cherry Creek Presbyterian Church,39.6230556,-104.8708333
358949980,Grace Korean Baptist Church,39.6234682,-104.8812524
358949982,Greenwood Community Church,39.6230556,-104.9219444
358949985,Hope United Methodist Church,39.6235388,-104.8765514
358949990,Saint Catherine Greek Orthodox Church,39.6175,-104.8863889
358949992,Saint Peter Lutheran Church,39.6235471,-104.8799946
358949994,Ascension Lutheran Church,39.6027778,-105.0077778
358949997,Church of God Holiness,39.6147222,-104.9936111
358949999,The Church of Jesus Christ of Latter-day Saints,39.59,-104.9663889
358950002,Community of Christ Church,39.6102778,-104.9669444
358950004,First Presbyterian Church,39.6136111,-105.0072222
358950006,Holy Trinity Lutheran Church,39.6022222,-104.9983333
358950009,Littleton Baptist Church,39.6022222,-105.0052778
358950011,Littleton United Methodist Church,39.61,-105.0038889
358950014,Prince of Peace Church,39.5902778,-105.0066667
358950016,Saint Mary's Catholic Church,39.5951709,-105.0170025
358950018,Salvation Army Worship Center,39.5947304,-104.9419904
358950242,Alameda Heights United Methodist Church,39.7114178,-105.0321444
358950244,American Lutheran Memorial Church,39.725,-105.0419444
358950246,Antioch Baptist Church,39.7534653,-104.9704881
358950251,Augustana Lutheran Church,39.7105618,-104.9286502
358950255,Baha'i Faith Metro Denver Center,39.7149484,-104.9841694
358950259,Baptist Bible Temple,39.7008333,-105.0405556
358950262,Bear Valley Church of Christ,39.6675,-105.0677778
358950266,Berkeley Baptist Church,39.7763907,-105.0400073
358950269,Berkeley Community Church,39.7877778,-105.0361111
358950273,Bethany Christian Church,39.7663889,-105.0530556
